,출제연도,출제월,과목,지문번호,문제번호,한자
473,2023,11,국어,2,3,化
474,2023,11,국어,2,3,過
475,2023,11,국어,2,3,程
476,2023,11,국어,2,3,經
477,2023,11,국어,2,3,驗
478,2023,11,국어,2,3,讀
479,2023,11,국어,2,3,書
480,2023,11,국어,2,3,經
481,2023,11,국어,2,3,驗
482,2023,11,국어,2,3,生
483,2023,11,국어,2,3,産
484,2023,11,국어,2,3,共
485,2023,11,국어,2,3,有
486,2023,11,국어,2,3,過
487,2023,11,국어,2,3,程
488,2023,11,국어,2,3,經
489,2023,11,국어,2,3,驗
490,2023,11,국어,2,3,空
491,2023,11,국어,2,3,間
492,2023,11,국어,2,3,解
493,2023,11,국어,2,3,釋
494,2023,11,국어,2,3,過
495,2023,11,국어,2,3,程
496,2023,11,국어,2,3,經
497,2023,11,국어,2,3,驗
498,2023,11,국어,2,4,答
499,2023,11,국어,2,4,中
500,2023,11,국어,2,4,國
501,2023,11,국어,2,4,類
502,2023,11,국어,2,4,書
503,2023,11,국어,2,4,古
504,2023,11,국어,2,4,今
505,2023,11,국어,2,4,書
506,2023,11,국어,2,4,籍
507,2023,11,국어,2,4,資
508,2023,11,국어,2,4,料
509,2023,11,국어,2,4,蒐
510,2023,11,국어,2,4,集
511,2023,11,국어,2,4,項
512,2023,11,국어,2,4,目
513,2023,11,국어,2,4,別
514,2023,11,국어,2,4,分
515,2023,11,국어,2,4,類
516,2023,11,국어,2,4,整
517,2023,11,국어,2,4,理
518,2023,11,국어,2,4,利
519,2023,11,국어,2,4,用
520,2023,11,국어,2,4,便
521,2023,11,국어,2,4,利
522,2023,11,국어,2,4,編
523,2023,11,국어,2,4,纂
524,2023,11,국어,2,4,書
525,2023,11,국어,2,4,籍
526,2023,11,국어,2,4,一
527,2023,11,국어,2,4,般
528,2023,11,국어,2,4,的
529,2023,11,국어,2,4,類
530,2023,11,국어,2,4,書
531,2023,11,국어,2,4,旣
532,2023,11,국어,2,4,存
533,2023,11,국어,2,4,書
534,2023,11,국어,2,4,籍
535,2023,11,국어,2,4,必
536,2023,11,국어,2,4,要
537,2023,11,국어,2,4,部
538,2023,11,국어,2,4,分
539,2023,11,국어,2,4,配
540,2023,11,국어,2,4,列
541,2023,11,국어,2,4,相
542,2023,11,국어,2,4,互
543,2023,11,국어,2,4,比
544,2023,11,국어,2,4,較
545,2023,11,국어,2,4,編
546,2023,11,국어,2,4,纂
547,2023,11,국어,2,4,者
548,2023,11,국어,2,4,解
549,2023,11,국어,2,4,釋
550,2023,11,국어,2,4,加
551,2023,11,국어,2,4,類
552,2023,11,국어,2,4,書
553,2023,11,국어,2,4,主
554,2023,11,국어,2,4,題
555,2023,11,국어,2,4,網
556,2023,11,국어,2,4,羅
557,2023,11,국어,2,4,一
558,2023,11,국어,2,4,般
559,2023,11,국어,2,4,類
560,2023,11,국어,2,4,書
561,2023,11,국어,2,4,特
562,2023,11,국어,2,4,定
563,2023,11,국어,2,4,主
564,2023,11,국어,2,4,題
565,2023,11,국어,2,4,專
566,2023,11,국어,2,4,門
567,2023,11,국어,2,4,類
568,2023,11,국어,2,4,書
569,2023,11,국어,2,4,編
570,2023,11,국어,2,4,纂
571,2023,11,국어,2,4,方
572,2023,11,국어,2,4,式
573,2023,11,국어,2,4,冊
574,2023,11,국어,2,4,境
575,2023,11,국어,2,4,遇
576,2023,11,국어,2,4,中
577,2023,11,국어,2,4,國
578,2023,11,국어,2,4,王
579,2023,11,국어,2,4,朝
580,2023,11,국어,2,4,初
581,2023,11,국어,2,4,期
582,2023,11,국어,2,4,學
583,2023,11,국어,2,4,者
584,2023,11,국어,2,4,動
585,2023,11,국어,2,4,員
586,2023,11,국어,2,4,國
587,2023,11,국어,2,4,家
588,2023,11,국어,2,4,主
589,2023,11,국어,2,4,導
590,2023,11,국어,2,4,大
591,2023,11,국어,2,4,規
592,2023,11,국어,2,4,模
593,2023,11,국어,2,4,類
594,2023,11,국어,2,4,書
595,2023,11,국어,2,4,編
596,2023,11,국어,2,4,纂
597,2023,11,국어,2,4,刊
598,2023,11,국어,2,4,行
599,2023,11,국어,2,4,以
600,2023,11,국어,2,4,前
601,2023,11,국어,2,4,知
602,2023,11,국어,2,4,識
603,2023,11,국어,2,4,集
604,2023,11,국어,2,4,成
605,2023,11,국어,2,4,王
606,2023,11,국어,2,4,朝
607,2023,11,국어,2,4,威
608,2023,11,국어,2,4,嚴
609,2023,11,국어,2,4,誇
610,2023,11,국어,2,4,示
611,2023,11,국어,2,4,高
612,2023,11,국어,2,4,麗
613,2023,11,국어,2,4,中
614,2023,11,국어,2,4,國
615,2023,11,국어,2,4,類
616,2023,11,국어,2,4,書
617,2023,11,국어,2,4,受
618,2023,11,국어,2,4,容
619,2023,11,국어,2,4,以
620,2023,11,국어,2,4,後
621,2023,11,국어,2,4,朝
622,2023,11,국어,2,4,鮮
623,2023,11,국어,2,4,中
624,2023,11,국어,2,4,國
625,2023,11,국어,2,4,類
626,2023,11,국어,2,4,書
627,2023,11,국어,2,4,活
628,2023,11,국어,2,4,用
629,2023,11,국어,2,4,便
630,2023,11,국어,2,4,中
631,2023,11,국어,2,4,國
632,2023,11,국어,2,4,類
633,2023,11,국어,2,4,書
634,2023,11,국어,2,4,編
635,2023,11,국어,2,4,纂
636,2023,11,국어,2,4,方
637,2023,11,국어,2,4,式
638,2023,11,국어,2,4,必
639,2023,11,국어,2,4,要
640,2023,11,국어,2,4,類
641,2023,11,국어,2,4,書
642,2023,11,국어,2,4,編
643,2023,11,국어,2,4,纂
644,2023,11,국어,2,4,朝
645,2023,11,국어,2,4,鮮
646,2023,11,국어,2,4,類
647,2023,11,국어,2,4,書
648,2023,11,국어,2,4,國
649,2023,11,국어,2,4,家
650,2023,11,국어,2,4,個
651,2023,11,국어,2,4,人
652,2023,11,국어,2,4,小
653,2023,11,국어,2,4,規
654,2023,11,국어,2,4,模
655,2023,11,국어,2,4,編
656,2023,11,국어,2,4,纂
657,2023,11,국어,2,4,境
